Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
443,1.208437,4,5,240,338,78,54,60.0,10.392304845413264,82,58,67.6,11.757550765359253,478.3037924194642,7.447636906185428,0.151054625,0.30670902540923767,0.956173,0.0,0.044589,0.014863000000000001,0.02087874863747027,0.04439,7.9e-05,1.163848,0.23276960000000005,0.36392979593575464,0.956173,0.0,1,2,0,0,80,100,3.310060847193524,4.137576058991905,54,82,64.22222222222223,11.79244369904142,139.06172839506172,2,0,0,3,9,0,0,0,1.25,64.22222222222223,60.0,67.6,24.0,0.25,19.860365083161142,0.0,0.0,0.0,4,240,5,338,255,472,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,good
443,1.213361,4,4,240,280,78,54,60.0,10.392304845413264,82,58,70.0,12.0,428.5616564237684,6.59325625267336,0.1733372857142857,0.32018412751358033,0.949953,6e-06,0.050899,0.016966333333333333,0.02382579584306798,0.050661,4.9e-05,1.162462,0.29061549999999997,0.3832589791867244,0.949953,6e-06,1,2,0,0,80,80,3.29662812633668,3.29662812633668,54,82,65.0,12.288205727444508,151.0,2,0,0,3,8,0,0,0,1.0,65.0,60.0,70.0,24.0,0.25,19.77976875802008,0.0,0.0,0.0,4,240,4,280,4095,441,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,good
443,1.185698,3,4,186,256,78,54,62.0,11.313708498984761,82,58,64.0,10.392304845413264,372.7762043960604,5.9036955447339885,0.19761633333333337,0.34465067987827264,0.959529,0.0,0.000195,9.75e-05,6.499999999999995e-06,0.000104,9.1e-05,1.185503,0.29637575,0.38589619011942505,0.959529,0.0,1,1,0,0,60,80,2.5301552334574238,3.3735403112765647,54,82,63.142857142857146,10.842094834863014,117.55102040816325,2,0,0,2,7,0,0,0,1.3333333333333333,63.142857142857146,62.0,64.0,24.0,0.3333333333333333,20.24124186765939,0.0,0.0,0.0,3,186,4,256,254,504,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,good
443,0.30827,4,5,348,1194,112,54,87.0,20.940391591371924,923,58,238.8,342.43329277393576,5002.108541213871,29.195186038213254,0.03853375,0.04566071663845739,0.133207,0.000255,0.053226,0.017742,0.018993823838290173,0.044182,0.000418,0.255044,0.0510088,0.05200362939795645,0.133207,0.000255,3,2,0,0,80,100,12.97563823920589,16.219547799007366,54,923,171.33333333333334,266.51328922463387,71029.33333333334,0,0,0,5,9,0,0,0,1.25,171.33333333333334,87.0,238.8,44.0,0.75,428.1960618937944,452.0,0.4,2932.4942420605316,4,348,5,1194,255,3392,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,good
443,2.092526,5,3,389,186,133,58,77.8,29.123186638827836,78,54,62.0,11.313708498984761,274.7875056271702,3.823130513073673,0.2989322857142857,0.6585421978890112,1.909139,4.4e-05,2.09092,0.5227299999999999,0.8012926416500403,1.909139,0.000388,0.001606,0.0005353333333333333,0.0006591167490580777,0.001467,4.4e-05,2,1,0,0,100,60,2.3894565706710456,1.4336739424026272,54,133,71.875,25.23111917850653,636.609375,2,0,0,3,8,0,0,0,0.6,71.875,77.8,62.0,75.0,0.2,35.841848560065685,24.0,0.3333333333333333,11.469391539221018,5,389,3,186,480,251,2,20,1.909139,0.0,1.909139,1.909139,1.909139,0.0,1.909139,1.909139,good
443,2.087832,5,3,389,186,133,58,77.8,29.123186638827836,78,54,62.0,11.313708498984761,275.4053008096437,3.8317259243080857,0.2982617142857143,0.6596636365221541,1.911424,0.0,2.086179,0.52154475,0.8032396473641522,1.911424,0.0,0.001653,0.000551,0.0005179137637354955,0.001283,0.000163,2,1,0,0,100,60,2.3948287026925534,1.4368972216155322,54,133,71.875,25.23111917850653,636.609375,2,0,0,3,8,0,0,0,0.6,71.875,77.8,62.0,75.0,0.2,35.922430540388305,24.0,0.3333333333333333,11.495177772924258,5,389,3,186,420,4095,2,20,1.911424,0.0,1.911424,1.911424,1.911424,0.0,1.911424,1.911424,good
443,2.093738,5,3,389,186,133,58,77.8,29.123186638827836,78,54,62.0,11.313708498984761,274.6284396615049,3.8209174213774597,0.2991054285714286,0.6580238017001812,1.907952,0.0,2.0919760000000003,0.5229940000000001,0.8004877223368264,1.907952,0.0,0.001762,0.0005873333333333333,0.0006736865410230158,0.00154,0.000101,2,1,0,0,100,60,2.388073388360912,1.4328440330165473,54,133,71.875,25.23111917850653,636.609375,2,0,0,3,8,0,0,0,0.6,71.875,77.8,62.0,75.0,0.2,35.82110082541369,24.0,0.3333333333333333,11.462752264132378,5,389,3,186,542,255,2,20,1.907952,0.0,1.907952,1.907952,1.907952,0.0,1.907952,1.907952,good
443,0.108587,2,2,207,285,153,54,103.5,49.5,189,96,142.5,46.5,4530.929116745098,36.83682208735852,0.03619566666666666,0.051122655866933285,0.108494,0.0,9.3e-05,9.3e-05,0.0,9.3e-05,9.3e-05,0.108494,0.054247,0.054247,0.108494,0.0,1,2,0,0,40,40,18.41841104367926,18.41841104367926,54,189,123.0,51.83145762951299,2686.5,0,0,0,3,4,0,0,0,1.0,123.0,103.5,142.5,99.0,0.5,911.7113466621234,131.0,0.5,1206.4059233609917,2,207,2,285,508,501,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,good
443,5.6e-05,1,1,58,54,58,58,58.0,0.0,54,54,54.0,0.0,2000000.0,35714.28571428572,5.6e-05,0.0,5.6e-05,5.6e-05,0.0,0.0,0.0,0.0,0.0,5.6e-05,5.6e-05,0.0,5.6e-05,5.6e-05,0,0,0,0,20,20,17857.14285714286,17857.14285714286,54,58,56.0,2.0,4.0,0,0,0,0,2,0,0,0,1.0,56.0,58.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,1,58,1,54,472,255,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,good
443,0.000127,1,1,58,54,58,58,58.0,0.0,54,54,54.0,0.0,881889.7637795276,15748.031496062993,0.000127,0.0,0.000127,0.000127,0.0,0.0,0.0,0.0,0.0,0.000127,0.000127,0.0,0.000127,0.000127,0,0,0,0,20,20,7874.0157480314965,7874.0157480314965,54,58,56.0,2.0,4.0,0,0,0,0,2,0,0,0,1.0,56.0,58.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,1,58,1,54,472,255,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,good
