Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,ACK Flag Count,PSH Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
53720,51.71261215209961,13,0,774,0,78,54,59.53846153846154,10.111801061633836,0,0,0.0,0.0,14.967335197136709,0.2513893508563013,4.309384346008301,7.423526721983234,21.265326023101807,0.0,51.71261215209961,4.309384346008301,7.423526721983234,21.265326023101807,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,260,0,0.2513893508563013,0.0,54,78,59.53846153846154,10.111801061633836,102.24852071005915,2,0,2,11,3,0,0,0,0.0,59.53846153846154,59.53846153846154,0.0,260,0,0,0,0,0,0,13,774,0,0,501,0,3,20,0,0,0,0,0,0,0,0
443,54.960407972335815,0,16,0,1700,0,0,0.0,0.0,189,54,106.25,53.456173637850284,30.93135700258431,0.29111865414196997,3.664027198155721,6.0850907259309945,15.347584009170532,0.0,0.0,0.0,0.0,0.0,0.0,54.960407972335815,3.664027198155721,6.0850907259309945,15.347584009170532,0.0,0,9,0,0,0,320,0.0,0.29111865414196997,54,189,106.25,53.456173637850284,2857.5625,0,0,0,16,9,0,0,0,0.0,106.25,0.0,106.25,0,0,0,0,0,0,0,0,0,16,1700,0,252,0,0,0,0,0,0,0,0,0,0
53788,60.41535496711731,10,0,540,0,54,54,54.0,0.0,0,0,0.0,0.0,8.938125089125267,0.16552083498380124,6.71281721856859,7.5051166553357,15.114073991775513,2.5987625122070312e-05,60.41535496711731,6.71281721856859,7.5051166553357,15.114073991775513,2.5987625122070312e-05,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200,0,0.16552083498380124,0.0,54,54,54.0,0.0,0.0,0,0,0,10,0,0,0,0,0.0,54.0,54.0,0.0,200,0,0,0,0,0,0,10,540,0,0,501,0,0,20,0,0,0,0,0,0,0,0
53794,35.21372199058533,9,0,510,0,78,54,56.666666666666664,7.542472332656507,0,0,0.0,0.0,14.482990469918306,0.2555821847632642,4.401715248823166,6.386560146128328,15.104090929031372,0.0,35.21372199058533,4.401715248823166,6.386560146128328,15.104090929031372,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,180,0,0.2555821847632642,0.0,54,78,56.666666666666664,7.542472332656507,56.888888888888886,1,0,0,9,1,0,0,0,0.0,56.666666666666664,56.666666666666664,0.0,180,0,0,0,0,0,0,9,510,0,0,501,0,1,20,0,0,0,0,0,0,0,0
59579,50.31347298622131,318,0,55443,0,614,54,174.3490566037736,124.15941587098608,0,0,0.0,0.0,1101.951360328146,6.320374665590794,0.1587175803981745,1.2523323857535884,13.95547103881836,0.0,50.31347298622131,0.1587175803981745,1.2523323857535884,13.95547103881836,0.0,0.0,0.0,0.0,0.0,0.0,210,0,0,0,6360,0,6.320374665590794,0.0,54,614,174.3490566037736,124.15941587098608,15415.56054942447,0,0,0,318,210,0,0,0,0.0,174.3490566037736,174.3490566037736,0.0,6360,0,0,0,0,0,0,318,55443,0,0,8059,0,210,20,0,0,0,0,0,0,0,0
53380,51.30225896835327,163,0,84284,0,11888,54,517.079754601227,1461.8655657376673,0,0,0.0,0.0,1642.8906191439273,3.177248005795408,0.31668061091576094,1.3497213232953036,12.889716863632202,0.0,51.30225896835327,0.31668061091576094,1.3497213232953036,12.889716863632202,0.0,0.0,0.0,0.0,0.0,0.0,68,0,0,0,3260,0,3.177248005795408,0.0,54,11888,517.079754601227,1461.8655657376673,2137050.93228951,0,0,0,163,68,0,0,0,0.0,517.079754601227,517.079754601227,0.0,3260,0,0,0,0,0,0,163,84284,0,0,1559,0,74,20,0,0,0,0,0,0,0,0
53414,45.3114070892334,8,0,432,0,54,54,54.0,0.0,0,0,0.0,0.0,9.534023058459578,0.17655598256406627,6.473058155604771,7.474398037288052,15.103822946548462,1.9073486328125e-05,45.3114070892334,6.473058155604771,7.474398037288052,15.103822946548462,1.9073486328125e-05,0.0,0.0,0.0,0.0,0.0,0,0,0,0,160,0,0.17655598256406627,0.0,54,54,54.0,0.0,0.0,0,0,0,8,0,0,0,0,0.0,54.0,54.0,0.0,160,0,0,0,0,0,0,8,432,0,0,501,0,0,20,0,0,0,0,0,0,0,0
53274,45.311439990997314,8,0,432,0,54,54,54.0,0.0,0,0,0.0,0.0,9.53401613556823,0.17655585436237464,6.473062855856759,7.474396034721823,15.10423493385315,3.2901763916015625e-05,45.311439990997314,6.473062855856759,7.474396034721823,15.10423493385315,3.2901763916015625e-05,0.0,0.0,0.0,0.0,0.0,0,0,0,0,160,0,0.17655585436237464,0.0,54,54,54.0,0.0,0.0,0,0,0,8,0,0,0,0,0.0,54.0,54.0,0.0,160,0,0,0,0,0,0,8,432,0,0,501,0,0,20,0,0,0,0,0,0,0,0
53791,30.362784147262573,9,0,534,0,78,54,59.333333333333336,9.977753031397176,0,0,0.0,0.0,17.587319970726202,0.2964155051245989,3.7953480184078217,6.295726530607762,15.10376501083374,0.0,30.362784147262573,3.7953480184078217,6.295726530607762,15.10376501083374,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,180,0,0.2964155051245989,0.0,54,78,59.333333333333336,9.977753031397176,99.55555555555554,1,0,0,9,2,0,0,0,0.0,59.333333333333336,59.333333333333336,0.0,180,0,0,0,0,0,0,9,534,0,0,645,0,2,20,0,0,0,0,0,0,0,0
59650,44.66984581947327,9,0,580,0,97,54,64.44444444444444,16.45270063013034,0,0,0.0,0.0,12.984150479139469,0.2014781970900952,5.583730727434158,7.175615783881586,15.103725910186768,1.6927719116210938e-05,44.66984581947327,5.583730727434158,7.175615783881586,15.103725910186768,1.6927719116210938e-05,0.0,0.0,0.0,0.0,0.0,2,0,0,0,180,0,0.2014781970900952,0.0,54,97,64.44444444444444,16.45270063013034,270.69135802469134,0,0,0,9,2,0,0,0,0.0,64.44444444444444,64.44444444444444,0.0,180,0,0,0,0,0,0,9,580,0,0,501,0,2,20,0,0,0,0,0,0,0,0
