Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
46.62084,0,307,0,77691,0,0,0.0,0.0,1466,54,253.06514657980455,387.2010171445153,1666.4435904629775,6.585037935824408,0.15235568627450982,1.5280721400966455,22.219541,-1.5e-05,0.0,0.0,0.0,0.0,0.0,46.62084,0.15235568627450982,1.5280721400966455,22.219541,-1.5e-05,0,196,0,0,0,6149,0.0,6.585037935824408,54,1466,253.06514657980455,387.2010171445153,149924.62767774722,0,0,0,196,307,0,0,0,0.0,253.06514657980455,0.0,253.06514657980455,0,0,0,0,0,0,0,0,0,307,77691,0,1046,0,0,10.56688325,8.272031690902736,22.219541,1.128799,10.56688325,8.272031690902736,22.219541,1.128799,music
51.344395,0,281,0,67582,0,0,0.0,0.0,2147,54,240.50533807829183,379.7464327342022,1316.248833003096,5.472846646649551,0.18337283928571427,1.4140097588990699,15.167019,0.0,0.0,0.0,0.0,0.0,0.0,51.344395,0.18337283928571427,1.4140097588990699,15.167019,0.0,0,174,0,0,0,5626,0.0,5.472846646649551,54,2147,240.50533807829183,379.7464327342022,144207.35317435194,0,0,0,174,281,0,0,0,0.0,240.50533807829183,0.0,240.50533807829183,0,0,0,0,0,0,0,0,0,281,67582,0,1046,0,0,7.647000666666667,6.01506490244765,15.167019,1.24317,7.647000666666667,6.01506490244765,15.167019,1.24317,music
34.258416,2,734,132,815089,66,66,66.0,0.0,2665,54,1110.475476839237,630.364616016901,23796.225721586197,21.48377204596967,0.046610089795918366,0.6514913648996079,17.206383,0.0,0.055107,0.055107,0.0,0.055107,0.055107,34.203309,0.04659851362397821,0.6519349335127317,17.206383,0.0,0,336,0,0,52,14689,0.058379815342308884,21.42539223062736,54,2665,1107.6372282608695,631.8514011418556,399236.1931249262,0,2,0,336,735,0,0,0,367.0,1107.6372282608695,66.0,1110.475476839237,52,0,0,0,0,0,0,2,132,734,815089,65535,1023,0,32,4.2545455,5.795970460281342,17.206383,1.41003,4.2545455,5.795970460281342,17.206383,1.41003,social_network
57.736711,2,1191,132,809707,66,66,66.0,0.0,4449,54,679.8547439126784,659.6747932162872,14026.413801090956,20.66276341927409,0.04843683808724832,0.2901772696849523,7.416631,0.0,0.852666,0.426333,0.372167,0.7985,0.054166,56.884045,0.04780171848739496,0.289605189143422,7.416631,0.0,0,792,0,0,52,23826,0.03464000573222815,20.628123413541864,54,4449,678.8256496227997,659.5998391510938,435071.94780814875,2,2,0,792,1192,0,0,0,595.5,678.8256496227997,66.0,679.8547439126784,52,0,0,0,0,0,0,2,132,1191,809707,65535,699,0,32,1.9881628571428573,1.5900903119635263,7.416631,1.00157,1.9881628571428573,1.5900903119635263,7.416631,1.00157,social_network
58.417659,0,1233,0,1375582,0,0,0.0,0.0,6338,54,1115.6382806163829,641.8100523419918,23547.366045599327,21.10663147251416,0.04741693100649351,0.45809089640654954,12.295781,0.0,0.0,0.0,0.0,0.0,0.0,58.417659,0.04741693100649351,0.45809089640654954,12.295781,0.0,0,618,0,0,0,24669,0.0,21.10663147251416,54,6338,1115.6382806163829,641.8100523419918,411920.14328723017,0,0,0,618,1233,0,0,0,0.0,1115.6382806163829,0.0,1115.6382806163829,0,0,0,0,0,0,0,0,0,1233,1375582,0,1027,0,0,3.7085560833333333,2.768339946867601,12.295781,1.008921,3.7085560833333333,2.768339946867601,12.295781,1.008921,social_network
56.583407,0,1069,0,1218998,0,0,0.0,0.0,1794,54,1140.3161833489241,601.3445514281304,21543.38285073573,18.892464357969818,0.05298071816479401,0.8692260123438716,27.485444,-0.000569,0.0,0.0,0.0,0.0,0.0,56.583407,0.05298071816479401,0.8692260123438716,27.485444,-0.000569,0,448,0,0,0,21386,0.0,18.892464357969818,54,1794,1140.3161833489241,601.3445514281304,361615.26953229937,0,0,0,448,1069,0,0,0,0.0,1140.3161833489241,0.0,1140.3161833489241,0,0,0,0,0,0,0,0,0,1069,1218998,0,2047,0,0,4.31659909090909,7.396960578392827,27.485444,1.098991,4.31659909090909,7.396960578392827,27.485444,1.098991,social_network
58.264505,0,668,0,528281,0,0,0.0,0.0,3423,54,790.8398203592815,684.9842035207977,9066.943930957621,11.46495623707779,0.08735308095952024,0.562792518686573,11.382707,0.0,0.0,0.0,0.0,0.0,0.0,58.264505,0.08735308095952024,0.562792518686573,11.382707,0.0,0,422,0,0,0,13369,0.0,11.46495623707779,54,3423,790.8398203592815,684.9842035207977,469203.3590730216,0,0,0,422,668,0,0,0,0.0,790.8398203592815,0.0,790.8398203592815,0,0,0,0,0,0,0,0,0,668,528281,0,1095,0,0,2.5147918333333337,2.3217332756440165,11.382707,1.014055,2.5147918333333337,2.3217332756440165,11.382707,1.014055,social_network
59.974843,18,6207,1172,5693992,66,58,65.11111111111111,2.5141574442188355,3776,54,917.3500886096343,543.079092136092,94959.21481611882,103.79351889257968,0.009636060893316197,0.059439975778360826,1.861775,-0.00064,0.138354,0.007686333333333333,0.005175010391830682,0.021377,0.00055,59.836489,0.009641715920077345,0.05952536844683327,1.861775,-0.00064,0,2306,0,0,458,124215,0.3001258377616762,103.493393054818,54,3776,914.8857831325302,544.2207265102483,296176.1991633425,16,18,8,2306,6208,0,0,0,344.8333333333333,914.8857831325302,65.11111111111111,917.3500886096343,458,0,0,0,0,0,0,18,1172,6207,5693992,65535,65535,0,24,1.312569,0.2656722377937396,1.861775,1.029131,1.312569,0.2656722377937396,1.861775,1.029131,social_network
54.295452,2,1313,124,1585716,66,58,62.0,4.0,1722,54,1207.7044935262757,557.8938001668885,29207.60287620407,24.21933977085226,0.0413207397260274,0.39513931480493136,7.397612,0.0,4.731516,2.365758,2.316423,4.682181,0.049335,49.563936,0.037777390243902434,0.37409175770763753,7.397612,0.0,0,532,0,0,47,26266,0.03683549775034565,24.182504273101916,54,1722,1205.9619771863117,559.2544249822708,312765.51186225045,2,2,0,532,1314,0,0,0,656.5,1205.9619771863117,62.0,1207.7044935262757,47,0,0,0,0,0,0,2,124,1313,1585716,65535,65535,0,24,3.542855833333333,2.0858716273514544,7.397612,1.03026,3.542855833333333,2.0858716273514544,7.397612,1.03026,video_hosting
57.498057,2,312,124,214593,66,58,62.0,4.0,1706,54,687.7980769230769,633.4073968473349,3734.3348836987657,5.46105410135859,0.1836998626198083,1.0089754575331806,11.278029,0.0,1.155243,0.5776215,0.5286635,1.106285,0.048958,56.342814000000004,0.1811666045016077,1.0108296818514697,11.278029,0.0,0,100,0,0,47,6243,0.03478378408508656,5.426270317273503,54,1706,683.812101910828,633.3467568211246,401128.11437583674,2,2,0,100,313,0,0,0,156.0,683.812101910828,62.0,687.7980769230769,47,0,0,0,0,0,0,2,124,312,214593,65535,65535,0,24,4.5988732,3.355333540106551,11.278029,1.106285,4.5988732,3.355333540106551,11.278029,1.106285,video_hosting
